2° TRIATHLON CRONO TAVERNOLA | 13-06-2026 | Tavernola Bergamasca (Bergamo) | Lombardia | 2° TRIATHLON CRONO TAVERNOLA FEMMINILE | https://www.myfitri.it/evento/3993
2° TRIATHLON CRONO TAVERNOLA | 13-06-2026 | Tavernola Bergamasca (Bergamo) | Lombardia | 2° TRIATHLON CRONO TAVERNOLA MASCHILE | https://www.myfitri.it/evento/3993
2° TRIATHLON FUTURE STARS - TOSCOLANO MADERNO | 06-09-2026 | Toscolano-Maderno (Brescia) | Lombardia | 2° Triathlon Future Stars Toscolano Maderno | https://www.myfitri.it/evento/3914
2° Triathlon Kids Palazzolo | 06-09-2026 | Palazzolo sull'Oglio (Brescia) | Lombardia | 2° Triathlon Kids Palazzolo | https://www.myfitri.it/evento/3921
2° Triathlon Sprint Altopiano Pinè | 23-08-2026 | Bedollo (Trento) | Trentino-Alto Adige/Südtirol | 2° Triathlon Sprint Altopiano Pinè | https://www.myfitri.it/evento/4044
2° Triathlon Sprint Città di Rivalta di Torino - Memorial don Aldo Rabino | 13-09-2026 | Rivalta di Torino (Torino) | Piemonte | 2° Triathlon Sprint Città di Rivalta di Torino - Memorial don Aldo Rabino | https://www.myfitri.it/evento/4075
2°Triathlon Sprint Pusiano Lake | 31-05-2026 | Pusiano (Como) | Lombardia | 2°Triathlon Sprint Pusiano Lake | https://www.myfitri.it/evento/4013
32° Triathlon di Andora | 19-04-2026 | Andora (Savona) | Liguria | Triathlon di Andora - distanza Olimpica | https://www.myfitri.it/evento/4055
32° Triathlon di Andora | 19-04-2026 | Andora (Savona) | Liguria | Triathlon di Andora - distanza Sprint | https://www.myfitri.it/evento/4055
37.Triathlon di Caldaro - olimpico | 09-05-2026 | Caldaro sulla strada del vino/Kaltern an der Weinstraße (Bolzano) | Trentino-Alto Adige/Südtirol | 37.Triathlon di Caldaro | https://www.myfitri.it/evento/3986
3° Duathlon Classico silver no draft del Litorale Pisano | 29-03-2026 | Pisa (Pisa) | Toscana | 3° Duathlon Classico silver no draft del Litorale Pisano | https://www.myfitri.it/evento/4006
3° TRIWEEK di ACCIAROLI con Triathlon Sprint Silver - Magna Grecia (Tappa Campionato Regionale) | 04-10-2026 | Pollica (Salerno) | Campania | 3° TRIWEEK di ACCIAROLI con Triathlon Sprint - Magna Grecia (Tappa Campionato Regionale) | https://www.myfitri.it/evento/4072
4° DUATHLON DEL PIAVE | 12-04-2026 | San Donà di Piave (Venezia) | Veneto | 4° DUATHLON DEL PIAVE | https://www.myfitri.it/evento/4076
4° DUATHLON GIOVANILE Sesto Fiorentino - YOUTH | 01-03-2026 | Sesto Fiorentino (Firenze) | Toscana | 4° DUATHLON GIOVANILE Sesto Fiorentino - YOUTH | https://www.myfitri.it/evento/3967
4° DUATHLON GIOVANILE Sesto Fiorentino - YOUTH | 01-03-2026 | Sesto Fiorentino (Firenze) | Toscana | 4° DUATHLON GIOVANILE Sesto Fiorentino- KIDS | https://www.myfitri.it/evento/3967
4°Triathlon Olimpico d i Colico/Como Lake | 30-08-2026 | Colico (Lecco) | Lombardia | 4°Triathlon Olimpico d i Colico/Como Lake | https://www.myfitri.it/evento/4009
5° WINTER TRIATHLON & WINTER DUATHLON PREDAZZO | 10-01-2026 | Predazzo (Trento) | Trentino-Alto Adige/Südtirol | CAMPIONATO ITALIANO WINTER DUATHLON | https://www.myfitri.it/evento/3897
5° WINTER TRIATHLON & WINTER DUATHLON PREDAZZO | 10-01-2026 | Predazzo (Trento) | Trentino-Alto Adige/Südtirol | WINTER DUATHLON GIOVANILE | https://www.myfitri.it/evento/3897
5° WINTER TRIATHLON & WINTER DUATHLON PREDAZZO | 11-01-2026 | Predazzo (Trento) | Trentino-Alto Adige/Südtirol | WINTER TRIATHLON CIRCUITO FITRI | https://www.myfitri.it/evento/3897
5° WINTER TRIATHLON & WINTER DUATHLON PREDAZZO | 11-01-2026 | Predazzo (Trento) | Trentino-Alto Adige/Südtirol | WINTER TRIATHLON GIOVANILE | https://www.myfitri.it/evento/3897
5°Triathlon Sprint  Piediluco | 02-08-2026 | Terni (Terni) | Umbria | 5° Triathlon Sprint piediluco | https://www.myfitri.it/evento/4018
6° Aquathlon della Vittorino - Memorial Aaron Bertoncini | 02-06-2026 | Piacenza (Piacenza) | Emilia-Romagna | 6° Aquathlon della Vittorino - Memorial Aaron Bertoncini | https://www.myfitri.it/evento/4073
6° TRIATHLON CITTA' DI GORIZIA | 24-05-2026 | Gorizia (Gorizia) | Friuli-Venezia Giulia | 2° Triathlon Sprint | https://www.myfitri.it/evento/3890
6° TRIATHLON CITTA' DI GORIZIA | 24-05-2026 | Gorizia (Gorizia) | Friuli-Venezia Giulia | Triathlon Giovani YA | https://www.myfitri.it/evento/3890
6° TRIATHLON CITTA' DI GORIZIA | 24-05-2026 | Gorizia (Gorizia) | Friuli-Venezia Giulia | Triathlon Kids | https://www.myfitri.it/evento/3890
6° TRIATHLON CITTA' DI GORIZIA | 24-05-2026 | Gorizia (Gorizia) | Friuli-Venezia Giulia | Triathlon SUPERSPRINT | https://www.myfitri.it/evento/3890
6° Triathlon Sprint lago di Mignano - Memorial Alessandro Repetti | 28-06-2026 | Vernasca (Piacenza) | Emilia-Romagna | 6° Triathlon Sprint lago di Mignano - Memorial Alessandro Repetti | https://www.myfitri.it/evento/4049
7° TRIATHLON SILVER CITTÀ DI EMPOLI | 19-07-2026 | Empoli (Firenze) | Toscana | 7° TRIATHLON KIDS CITTÀ DI EMPOLI | https://www.myfitri.it/evento/4020
7° TRIATHLON SILVER CITTÀ DI EMPOLI | 19-07-2026 | Empoli (Firenze) | Toscana | 7° TRIATHLON SPRINT SILVER CITTÀ DI EMPOLI | https://www.myfitri.it/evento/4020
7° TRIATHLON SILVER CITTÀ DI EMPOLI | 19-07-2026 | Empoli (Firenze) | Toscana | 7° TRIATHLON SUPER SPRINT SILVER CITTÀ DI EMPOLI | https://www.myfitri.it/evento/4020
7° Triathlon Città di Varedo | 10-05-2026 | Varedo (Monza) | Lombardia | 7° Triathlon Città di Varedo | https://www.myfitri.it/evento/3957
8 MUD DUATHLON MTB TELGATE | 01-03-2026 | Telgate (Bergamo) | Lombardia | 8° MUD DUATHLON MTB TELGATE 1° PARADUATHLON | https://www.myfitri.it/evento/4005
8 MUD DUATHLON MTB TELGATE | 01-03-2026 | Telgate (Bergamo) | Lombardia | 8° MUD DUATHLON MTB TELGATE 1° Youth | https://www.myfitri.it/evento/4005
8 MUD DUATHLON MTB TELGATE | 01-03-2026 | Telgate (Bergamo) | Lombardia | 8° MUD DUATHLON MTB TELGATE Kids | https://www.myfitri.it/evento/4005
9° Lignano “Eyof European Test Event” Triathlon Memorial Ardito | 25-04-2026 | Lignano Sabbiadoro (Udine) | Friuli-Venezia Giulia | 9° Lignano “Eyof European Test Event” Triathlon Memorial Ardito | https://www.myfitri.it/evento/3995
9° TRIATHLON SPRINT CITTA' DI SALO' | 24-05-2026 | Salò (Brescia) | Lombardia | 9° TRIATHLON SPRINT CITTA' DI SALO' | https://www.myfitri.it/evento/3898
ADRIATIC SERIES  Triathlon Sprint SILVER Grottammare (AP) | 17-05-2026 | Grottammare (Ascoli Piceno) | Marche | ADRIATIC SERIES  Triathlon Sprint SILVER Grottammare (AP) | https://www.myfitri.it/evento/4031
ADRIATIC SERIES DUATHLON SPRINT TOLENTINO | 29-03-2026 | Tolentino (Macerata) | Marche | ADRIATIC SERIES Duathlon Sprint Silver Rank di Tolentino | https://www.myfitri.it/evento/4026
ADRIATIC SERIES Triathlon Cesenatico Italia | 18-04-2026 | Cesenatico (Forlì) | Emilia-Romagna | ADRIATIC SERIES Triathlon AS75 Cesenatico Italia NO DRAFT | https://www.myfitri.it/evento/4033
ADRIATIC SERIES Triathlon Cesenatico Italia | 19-04-2026 | Cesenatico (Forlì) | Emilia-Romagna | ADRIATIC SERIES Triathlon OlimpicoCesenatico Italia | https://www.myfitri.it/evento/4033
ADRIATIC SERIES Triathlon Cesenatico Italia | 19-04-2026 | Cesenatico (Forlì) | Emilia-Romagna | ADRIATIC SERIES Triathlon Sprint Cesenatico Italia NO DRAFT | https://www.myfitri.it/evento/4033
ADRIATIC SERIES Triathlon Cupra Marittima | 25-04-2026 | Cupra Marittima (Ascoli Piceno) | Marche | ADRIATIC SERIES Triathlon AS75 NO DRAFT | https://www.myfitri.it/evento/3910
