2026 World Triathlon Winter Championships Padola | 01-03-2026 | Comelico Superiore (Belluno) | Veneto | 2026 World Triathlon Winter Championships Padola - 2x2 Mixed Relay | https://www.myfitri.it/calendario/evento/113844
2026 World Triathlon Winter Championships Padola | 01-03-2026 | Comelico Superiore (Belluno) | Veneto | 2026 World Triathlon Winter Championships Padola - Age Group - standard | https://www.myfitri.it/calendario/evento/113844
2026 World Triathlon Winter Championships Padola | 01-03-2026 | Comelico Superiore (Belluno) | Veneto | Winter Triathlon Promozionale Kids | https://www.myfitri.it/calendario/evento/113844
2026 World Triathlon Winter Championships Padola | 28-02-2026 | Comelico Superiore (Belluno) | Veneto | 2026 World Triathlon Winter Championships Padola - Elite/U23 - standard | https://www.myfitri.it/calendario/evento/113844
2026 World Triathlon Winter Championships Padola | 28-02-2026 | Comelico Superiore (Belluno) | Veneto | 2026 World Triathlon Winter Championships Padola - Junior - Sprint | https://www.myfitri.it/calendario/evento/113844
2026 World Triathlon Winter Duathlon Championships Padola | 27-02-2026 | Comelico Superiore (Belluno) | Veneto | World Triathlon Winter Duathlon Championships Padola - Elite/U23 Winter Duathlon – Sprint | https://www.myfitri.it/calendario/evento/113963
2026 World Triathlon Winter Duathlon Championships Padola | 27-02-2026 | Comelico Superiore (Belluno) | Veneto | World Triathlon Winter Duathlon Championships Padola - Junior Winter Duathlon – Sprint | https://www.myfitri.it/calendario/evento/113963
2026 World Triathlon Winter Duathlon Championships Padola | 28-02-2026 | Comelico Superiore (Belluno) | Veneto | World Triathlon Winter Duathlon Championships Padola - Age Group Winter Duathlon – Sprint | https://www.myfitri.it/calendario/evento/113963
22° DUATHLON SPRINT CITTA' DELLO ZAFFERANO | 29-03-2026 | San Gavino Monreale (Carbonia) | Sardegna | 22° DUATHLON CITTA' DELLO ZAFFERANO | https://www.myfitri.it/calendario/evento/113832
22° DUATHLON SPRINT CITTA' DELLO ZAFFERANO | 29-03-2026 | San Gavino Monreale (Carbonia) | Sardegna | 22° DUATHLON SPRINT CITTA' DELLO ZAFFERANO | https://www.myfitri.it/calendario/evento/113832
22° Duathlon Kids Conad | 29-03-2026 | Parma (Parma) | Emilia-Romagna | 22° Duathlon Kids Conad | https://www.myfitri.it/calendario/evento/113810
23° Triathlon Olimpico Città di Pietra Ligure | 06-06-2026 | Pietra Ligure (Savona) | Liguria | 23° Triathlon Olimpico Città di Pietra Ligure | https://www.myfitri.it/calendario/evento/113908
24° TRIATHLON SPRINT CITTA' DI CHIOGGIA 2026 | 13-09-2026 | Chioggia (Venezia) | Veneto | 24° TRIATHLON SPRINT CHIOGGIA 2026 | https://www.myfitri.it/calendario/evento/113928
25° Triathlon Sprint Lecco City | 05-07-2026 | Lecco (Lecco) | Lombardia | 25° Triathlon Sprint Lecco City | https://www.myfitri.it/calendario/evento/113918
2° TRIATHLON CRONO TAVERNOLA | 13-06-2026 | Tavernola Bergamasca (Bergamo) | Lombardia | 2° TRIATHLON CRONO TAVERNOLA FEMMINILE | https://www.myfitri.it/calendario/evento/113909
2° TRIATHLON CRONO TAVERNOLA | 13-06-2026 | Tavernola Bergamasca (Bergamo) | Lombardia | 2° TRIATHLON CRONO TAVERNOLA MASCHILE | https://www.myfitri.it/calendario/evento/113909
2° TRIATHLON FUTURE STARS - TOSCOLANO MADERNO | 06-09-2026 | Toscolano-Maderno (Brescia) | Lombardia | 2° Triathlon Future Stars Toscolano Maderno | https://www.myfitri.it/calendario/evento/113870
2° Triathlon Kids Palazzolo | 06-09-2026 | Palazzolo sull'Oglio (Brescia) | Lombardia | 2° Triathlon Kids Palazzolo | https://www.myfitri.it/calendario/evento/113874
2° Triathlon Sprint Altopiano Pinè | 23-08-2026 | Bedollo (Trento) | Trentino-Alto Adige/Südtirol | 2° Triathlon Sprint Altopiano Pinè | https://www.myfitri.it/calendario/evento/113943
2° Triathlon Sprint Città di Rivalta di Torino - Memorial don Aldo Rabino | 13-09-2026 | Rivalta di Torino (Torino) | Piemonte | 2° Triathlon Sprint Città di Rivalta di Torino - Memorial don Aldo Rabino | https://www.myfitri.it/calendario/evento/113960
2°Triathlon Sprint Pusiano Lake | 31-05-2026 | Pusiano (Como) | Lombardia | 2°Triathlon Sprint Pusiano Lake | https://www.myfitri.it/calendario/evento/113919
32° Triathlon di Andora | 19-04-2026 | Andora (Savona) | Liguria | Triathlon di Andora - distanza Olimpica | https://www.myfitri.it/calendario/evento/113948
32° Triathlon di Andora | 19-04-2026 | Andora (Savona) | Liguria | Triathlon di Andora - distanza Sprint | https://www.myfitri.it/calendario/evento/113948
37.Triathlon di Caldaro - olimpico | 09-05-2026 | Caldaro sulla strada del vino/Kaltern an der Weinstraße (Bolzano) | Trentino-Alto Adige/Südtirol | 37.Triathlon di Caldaro | https://www.myfitri.it/calendario/evento/113902
3° Duathlon Classico silver no draft del Litorale Pisano | 29-03-2026 | Pisa (Pisa) | Toscana | 3° Duathlon Classico silver no draft del Litorale Pisano | https://www.myfitri.it/calendario/evento/113822
3° TRIWEEK di ACCIAROLI con Triathlon Sprint Silver - Magna Grecia (Tappa Campionato Regionale) | 04-10-2026 | Pollica (Salerno) | Campania | 3° TRIWEEK di ACCIAROLI con Triathlon Sprint - Magna Grecia (Tappa Campionato Regionale) | https://www.myfitri.it/calendario/evento/113957
4° DUATHLON DEL PIAVE | 12-04-2026 | San Donà di Piave (Venezia) | Veneto | 4° DUATHLON DEL PIAVE | https://www.myfitri.it/calendario/evento/113836
4° DUATHLON GIOVANILE Sesto Fiorentino - YOUTH | 01-03-2026 | Sesto Fiorentino (Firenze) | Toscana | 4° DUATHLON GIOVANILE Sesto Fiorentino - YOUTH | https://www.myfitri.it/calendario/evento/113815
4° DUATHLON GIOVANILE Sesto Fiorentino - YOUTH | 01-03-2026 | Sesto Fiorentino (Firenze) | Toscana | 4° DUATHLON GIOVANILE Sesto Fiorentino- KIDS | https://www.myfitri.it/calendario/evento/113815
4°Triathlon Olimpico d i Colico/Como Lake | 30-08-2026 | Colico (Lecco) | Lombardia | 4°Triathlon Olimpico d i Colico/Como Lake | https://www.myfitri.it/calendario/evento/113915
5° WINTER TRIATHLON & WINTER DUATHLON PREDAZZO | 10-01-2026 | Predazzo (Trento) | Trentino-Alto Adige/Südtirol | CAMPIONATO ITALIANO WINTER DUATHLON | https://www.myfitri.it/calendario/evento/113841
5° WINTER TRIATHLON & WINTER DUATHLON PREDAZZO | 10-01-2026 | Predazzo (Trento) | Trentino-Alto Adige/Südtirol | WINTER DUATHLON GIOVANILE | https://www.myfitri.it/calendario/evento/113841
5° WINTER TRIATHLON & WINTER DUATHLON PREDAZZO | 11-01-2026 | Predazzo (Trento) | Trentino-Alto Adige/Südtirol | WINTER TRIATHLON CIRCUITO FITRI | https://www.myfitri.it/calendario/evento/113841
5° WINTER TRIATHLON & WINTER DUATHLON PREDAZZO | 11-01-2026 | Predazzo (Trento) | Trentino-Alto Adige/Südtirol | WINTER TRIATHLON GIOVANILE | https://www.myfitri.it/calendario/evento/113841
5°Triathlon Sprint  Piediluco | 02-08-2026 | Terni (Terni) | Umbria | 5° Triathlon Sprint piediluco | https://www.myfitri.it/calendario/evento/113925
6° Aquathlon della Vittorino - Memorial Aaron Bertoncini | 02-06-2026 | Piacenza (Piacenza) | Emilia-Romagna | 6° Aquathlon della Vittorino - Memorial Aaron Bertoncini | https://www.myfitri.it/calendario/evento/113858
6° TRIATHLON CITTA' DI GORIZIA | 24-05-2026 | Gorizia (Gorizia) | Friuli-Venezia Giulia | 2° Triathlon Sprint | https://www.myfitri.it/calendario/evento/113848
6° TRIATHLON CITTA' DI GORIZIA | 24-05-2026 | Gorizia (Gorizia) | Friuli-Venezia Giulia | Triathlon Giovani YA | https://www.myfitri.it/calendario/evento/113848
6° TRIATHLON CITTA' DI GORIZIA | 24-05-2026 | Gorizia (Gorizia) | Friuli-Venezia Giulia | Triathlon Kids | https://www.myfitri.it/calendario/evento/113848
6° TRIATHLON CITTA' DI GORIZIA | 24-05-2026 | Gorizia (Gorizia) | Friuli-Venezia Giulia | Triathlon SUPERSPRINT | https://www.myfitri.it/calendario/evento/113848
6° Triathlon Sprint lago di Mignano - Memorial Alessandro Repetti | 28-06-2026 | Vernasca (Piacenza) | Emilia-Romagna | 6° Triathlon Sprint lago di Mignano - Memorial Alessandro Repetti | https://www.myfitri.it/calendario/evento/113945
7° TRIATHLON SILVER CITTÀ DI EMPOLI | 19-07-2026 | Empoli (Firenze) | Toscana | 7° TRIATHLON KIDS CITTÀ DI EMPOLI | https://www.myfitri.it/calendario/evento/113927
7° TRIATHLON SILVER CITTÀ DI EMPOLI | 19-07-2026 | Empoli (Firenze) | Toscana | 7° TRIATHLON SPRINT SILVER CITTÀ DI EMPOLI | https://www.myfitri.it/calendario/evento/113927
7° TRIATHLON SILVER CITTÀ DI EMPOLI | 19-07-2026 | Empoli (Firenze) | Toscana | 7° TRIATHLON SUPER SPRINT SILVER CITTÀ DI EMPOLI | https://www.myfitri.it/calendario/evento/113927
7° Triathlon Città di Varedo | 10-05-2026 | Varedo (Monza) | Lombardia | 7° Triathlon Città di Varedo | https://www.myfitri.it/calendario/evento/113888
8 MUD DUATHLON MTB TELGATE | 01-03-2026 | Telgate (Bergamo) | Lombardia | 8° MUD DUATHLON MTB TELGATE 1° PARADUATHLON | https://www.myfitri.it/calendario/evento/113821
8 MUD DUATHLON MTB TELGATE | 01-03-2026 | Telgate (Bergamo) | Lombardia | 8° MUD DUATHLON MTB TELGATE 1° Youth | https://www.myfitri.it/calendario/evento/113821
8 MUD DUATHLON MTB TELGATE | 01-03-2026 | Telgate (Bergamo) | Lombardia | 8° MUD DUATHLON MTB TELGATE Kids | https://www.myfitri.it/calendario/evento/113821
9° Lignano “Eyof European Test Event” Triathlon Memorial Ardito | 25-04-2026 | Lignano Sabbiadoro (Udine) | Friuli-Venezia Giulia | 9° Lignano “Eyof European Test Event” Triathlon Memorial Ardito | https://www.myfitri.it/calendario/evento/113910
9° TRIATHLON SPRINT CITTA' DI SALO' | 24-05-2026 | Salò (Brescia) | Lombardia | 9° TRIATHLON SPRINT CITTA' DI SALO' | https://www.myfitri.it/calendario/evento/113862
ADRIATIC SERIES  Triathlon Sprint SILVER Grottammare (AP) | 17-05-2026 | Grottammare (Ascoli Piceno) | Marche | ADRIATIC SERIES  Triathlon Sprint SILVER Grottammare (AP) | https://www.myfitri.it/calendario/evento/113933
ADRIATIC SERIES DUATHLON SPRINT TOLENTINO | 29-03-2026 | Tolentino (Macerata) | Marche | ADRIATIC SERIES Duathlon Sprint Silver Rank di Tolentino | https://www.myfitri.it/calendario/evento/113823
ADRIATIC SERIES Triathlon Cesenatico Italia | 18-04-2026 | Cesenatico (Forlì) | Emilia-Romagna | ADRIATIC SERIES Triathlon AS75 Cesenatico Italia NO DRAFT | https://www.myfitri.it/calendario/evento/113935
ADRIATIC SERIES Triathlon Cesenatico Italia | 19-04-2026 | Cesenatico (Forlì) | Emilia-Romagna | ADRIATIC SERIES Triathlon OlimpicoCesenatico Italia | https://www.myfitri.it/calendario/evento/113935
ADRIATIC SERIES Triathlon Cesenatico Italia | 19-04-2026 | Cesenatico (Forlì) | Emilia-Romagna | ADRIATIC SERIES Triathlon Sprint Cesenatico Italia NO DRAFT | https://www.myfitri.it/calendario/evento/113935
ADRIATIC SERIES Triathlon Cupra Marittima | 25-04-2026 | Cupra Marittima (Ascoli Piceno) | Marche | ADRIATIC SERIES Triathlon AS75 NO DRAFT | https://www.myfitri.it/calendario/evento/113868
ADRIATIC SERIES Triathlon Cupra Marittima | 25-04-2026 | Cupra Marittima (Ascoli Piceno) | Marche | ADRIATIC SERIES Triathlon Sprint NO DRAFT | https://www.myfitri.it/calendario/evento/113868
ADRIATIC SERIES Triathlon Cupra Marittima | 26-04-2026 | Cupra Marittima (Ascoli Piceno) | Marche | ADRIATIC SERIES Triathlon Olimpico Cupra Marittima | https://www.myfitri.it/calendario/evento/113868
ADRIATIC SERIES Triathlon Olimpico Città di Vieste | 07-06-2026 | Vieste (Foggia) | Puglia | ADRIATIC SERIES Triathlon Olimpico  Città di Vieste | https://www.myfitri.it/calendario/evento/113876
ADRIATIC SERIES Triathlon Sprint Città di San Mauro Mare | 12-09-2026 | San Mauro Pascoli (Forlì) | Emilia-Romagna | ADRIATIC SERIES ParaTriathlon Super Sprint | https://www.myfitri.it/calendario/evento/113895
ADRIATIC SERIES Triathlon Sprint Città di San Mauro Mare | 12-09-2026 | San Mauro Pascoli (Forlì) | Emilia-Romagna | ADRIATIC SERIES Triathlon Sprint Città di San Mauro Mare | https://www.myfitri.it/calendario/evento/113895
AQUATHLON CITTA' DI PAOLA - TROFEO SAN FRANCESCO | 26-07-2026 | Paola (Cosenza) | Calabria | AQUATHLON KIDS CITTA' DI PAOLA - TROFEO SAN FRANCESCO | https://www.myfitri.it/calendario/evento/113849
AQUATHLON CITTA' DI PAOLA - TROFEO SAN FRANCESCO | 26-07-2026 | Paola (Cosenza) | Calabria | AQUATHLON YOUTH CITTA' DI PAOLA - TROFEO SAN FRANCESCO | https://www.myfitri.it/calendario/evento/113849
AQUATHLON DEL CASTELLO | 14-06-2026 | Santa Marinella (Roma) | Lazio | AQUATHLON DEL CASTELLO     Giovanile | https://www.myfitri.it/calendario/evento/113846
AQUATHLON DEL CASTELLO | 14-06-2026 | Santa Marinella (Roma) | Lazio | AQUATHLON DEL CASTELLO | https://www.myfitri.it/calendario/evento/113846
AQUATHLON DEL CASTELLO | 21-06-2026 | Santa Marinella (Roma) | Lazio | AQUATHLON DEL CASTELLO     Giovanile | https://www.myfitri.it/calendario/evento/113846
AQUATHLON DELLE ALPI | 10-05-2026 | Bolzano/Bozen (Bolzano) | Trentino-Alto Adige/Südtirol | Aquathlon Delle Alpi KIDS | https://www.myfitri.it/calendario/evento/113853
AQUATHLON DELLE ALPI | 10-05-2026 | Bolzano/Bozen (Bolzano) | Trentino-Alto Adige/Südtirol | Aquathlon Delle Alpi Sprint | https://www.myfitri.it/calendario/evento/113853
AQUATHLON DELLE ALPI | 10-05-2026 | Bolzano/Bozen (Bolzano) | Trentino-Alto Adige/Südtirol | Aquathlon Delle Alpi Super Sprint | https://www.myfitri.it/calendario/evento/113853
